Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,49.770000,49.770000,49.764999,49.764999,46.824715,18100
2022-08-10,49.779999,49.945000,49.778999,49.790001,46.848228,260100
2022-08-11,49.790001,49.790001,49.770000,49.779999,46.838814,30600
2022-08-12,49.785000,49.785000,49.770000,49.779999,46.838814,35100
2022-08-15,49.790001,49.790001,49.770000,49.770000,46.829411,76100
2022-08-16,49.770000,49.790001,49.770000,49.790001,46.848228,39500
2022-08-17,49.790001,49.790001,49.779999,49.790001,46.848228,43500
2022-08-18,49.790001,49.790001,49.785000,49.790001,46.848228,9800
2022-08-19,49.779999,49.790001,49.779999,49.790001,46.848228,54800
2022-08-22,49.789001,49.790001,49.779999,49.790001,46.848228,15900
2022-08-23,49.789001,49.790001,49.779999,49.790001,46.848228,24200
2022-08-24,49.799999,49.799999,49.785000,49.790001,46.848228,5300
2022-08-25,49.794998,49.799999,49.794998,49.799999,46.857639,2800
2022-08-26,49.799999,49.799999,49.790001,49.799999,46.857639,33800
2022-08-29,49.799999,49.810001,49.796001,49.799999,46.857639,27700
2022-08-30,49.799999,49.810001,49.799999,49.810001,46.867054,12000
2022-08-31,49.820000,49.820000,49.805000,49.810001,46.867054,23800
2022-09-01,49.820000,49.820000,49.810001,49.820000,46.876465,119400
2022-09-02,49.820000,49.830002,49.820000,49.830002,46.885864,41100
2022-09-06,49.828999,49.840000,49.820000,49.840000,46.895279,32000
2022-09-07,49.849998,49.849998,49.830002,49.840000,46.895279,24800
2022-09-08,49.849998,49.860001,49.840000,49.849998,46.904690,127300
2022-09-09,49.849998,49.849998,49.845001,49.849998,46.904690,59400
2022-09-12,49.860001,49.860001,49.849998,49.860001,46.914093,76400
2022-09-13,49.860001,49.990002,49.830002,49.860001,46.914093,51900
2022-09-14,49.860001,49.869999,49.854000,49.860001,46.914093,48200
2022-09-15,49.889999,49.889999,49.865002,49.880001,46.932911,43500
2022-09-16,49.880001,49.900002,49.870998,49.889999,46.942318,36100
2022-09-19,49.900002,49.900002,49.880001,49.900002,46.951736,161400
2022-09-20,49.894001,49.904999,49.886002,49.900002,46.951736,14400
2022-09-21,49.919998,49.919998,49.880001,49.910000,46.961140,32100
2022-09-22,49.919998,49.919998,49.900002,49.919998,46.970547,145000
2022-09-23,49.930000,49.930000,49.910000,49.924999,46.975254,141700
2022-09-26,49.939999,49.939999,49.912998,49.930000,46.979958,87300
2022-09-27,49.919998,49.939999,49.919998,49.939999,46.989368,65800
2022-09-28,49.950001,49.950001,49.930000,49.950001,46.998787,36200
2022-09-29,50.000000,50.000000,49.950001,49.970001,47.017597,112200
2022-09-30,49.970001,49.970001,49.950001,49.970001,47.017597,70900
2022-10-03,49.910000,49.910000,49.895000,49.910000,47.063801,83600
2022-10-04,49.889999,49.889999,49.854000,49.880001,47.035507,156000
2022-10-05,49.880001,49.889999,49.860001,49.860001,47.016651,511700
2022-10-06,49.849998,49.880001,49.849998,49.869999,47.026077,62600
2022-10-07,49.860001,49.900002,49.860001,49.900002,47.054375,65100
2022-10-10,49.930000,49.930000,49.900002,49.910000,47.063801,37200
2022-10-11,49.900002,49.910000,49.900002,49.910000,47.063801,762600
2022-10-12,49.910000,49.910000,49.889999,49.900002,47.054375,123300
2022-10-13,49.919998,49.919998,49.900002,49.910000,47.063801,98400
2022-10-14,49.910000,49.910000,49.900002,49.910000,47.063801,25400
2022-10-17,49.869999,49.880001,49.860001,49.869999,47.067581,111200
2022-10-18,49.880001,49.880001,49.860001,49.869999,47.067581,48600
2022-10-19,49.869999,49.869999,49.849998,49.860001,47.058144,107200
2022-10-20,49.869999,49.869999,49.849998,49.860001,47.058144,247300
2022-10-21,49.869999,49.880001,49.860001,49.869999,47.067581,227800
2022-10-24,49.880001,49.900002,49.860001,49.869999,47.067581,112700
2022-10-25,49.860001,49.889999,49.860001,49.880001,47.077019,61300
2022-10-26,49.889999,49.930000,49.869999,49.889999,47.086449,100100
2022-10-27,49.910000,49.910000,49.889999,49.900002,47.095890,40500
2022-10-28,49.900002,49.900002,49.889999,49.900002,47.095890,74600
2022-10-31,49.919998,49.919998,49.889999,49.900002,47.095890,115200
